"Scientific_name","Isolation_type","Location","Isolation_source","Host","Collection_date","Isolate","Strand","Element_symbol","Type","Method","Genus","Species"
"Klebsiella pneumoniae","clinical","Argentina","cerebrospinal fluid","human",1980,"PDT000011670.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Salmonella Wien","clinical","France","human","human",1988,"PDT000002821.3","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella Wien","clinical","France","human","human",1988,"PDT000002821.3","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Escherichia coli","clinical",NA,"unknown","unknown",1988,"PDT000570875.1","-","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Escherichia coli","clinical",NA,"unknown","unknown",1988,"PDT000570876.1","-","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Salmonella Wien","clinical","France","unknown","human",1988,"PDT001024780.1","-","blaSCO-1","AMR","ALLELEX","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1989,"PDT001856916.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1989,"PDT001856916.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1991,"PDT001877899.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1991,"PDT001877899.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Pseudomonas aeruginosa","unknown","USA","burn","unknown",1992,"PDT000096450.1","-","blaSCO-1","AMR","ALLELEP","Pseudomonas","Pseudomonas aeruginosa"
"Salmonella enterica","clinical","USA","unknown","horses",1995,"PDT001877967.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1995,"PDT001877967.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
